IXP_Country_ISO_Alpha2,IXPDB_ID,PCH_ID,PeeringDB_ID,IXP_name_IXPDB,IXP_name_PCH,IXP_name_PDB,IXP_City,IXP_region_continent,Date_Creation_PDB,Date_Creation_PCH,Date_Update_PCH,Date_Update_IXPDB,IXP_Website,IXP_Url_Stats,IXP_Url_Stats_PCH,Url_Stats_comments,Date_check_Stats
IN,619,1948,1623,AMS-IX India,AMS-IX India,AMS-IX India,Mumbai,Asia Pacific,2017-02-07T09:14:28Z,20170202,2019/7/28,2019-08-07T10:00:54Z,https://ams-ix.in/,https://stats-mum.ams-ix.net/,"['https://stats-mum.ams-ix.net/cgi-bin/stats/16all?log=totalall;png=daily', 'https://stats-mum.ams-ix.net/cgi-bin/stats/16all?log=totalall;png=daily']",none,none
IN,694,2004,1627,EIX Mumbai (Extreme Internet Exchange India),Extreme IX Mumbai,Extreme IX Mumbai,Mumbai,Asia Pacific,2017-02-08T10:06:51Z,20160623,0000-00-00,2019-08-06T14:01:43Z,http://extreme-ix.org,,,none,none
US,647,2007,1628,IX-LAS (Las Vegas IX),Megaport Las Vegas,MegaIX Las Vegas,Las Vegas,North America,2017-02-09T04:23:24Z,0,0000-00-00,2019-08-06T06:01:46Z,https://megaport.com,https://www.megaport.com/services/ix-statistics/,,none,none
CL,674,1949,1634,SCL-IX (SCL-IX),SCL-IX,SCL-IX Chile,Santiago,South America,2017-02-11T06:03:38Z,20161028,0000-00-00,2019-06-17T09:11:39Z,https://www.sclix.cl,,,none,none
NP,673,,1658,npIX JWL (npIX JWL),,npIX JWL,Lalitpur,Asia Pacific,2017-03-02T11:31:49Z,,,2019-06-18T12:22:57Z,http://www.npix.net.np/,,,none,none
EC,,,1660,,,IXP Ecuador - STD,Santo Domingo,South America,2017-03-03T20:27:04Z,,,,http://www.ixp.ec,http://www.ixp.ec,,none,none
JP,,,1663,,,RIX (RYUKYUIX),Urasoe   Naha  Ginoza  Nago  Uruma  Okinawa,Asia Pacific,2017-03-08T05:37:01Z,,,,http://www.ryukyuix.net,,,none,none
US,684,,1668,CIX-ATL,,CIX-ATL,Atlanta,North America,2017-03-16T17:11:36Z,,,2019-06-17T17:37:34Z,http://www.communityix.org,https://atl.communityix.org/grapher/ixp?period=month,,none,none
RU,,,1669,,,BAIKAL-IX,Irkutsk,Europe,2017-03-17T01:35:57Z,,,,https://baikal-ix.ru,,,none,none
FR,672,,1670,Breizh-IX (Breizh-IX),,BreizhIX,Rennes,Europe,2017-03-19T13:18:32Z,,,2019-06-19T01:29:53Z,https://www.breizh-ix.net/,,,none,none
US,743,1927,1679,Northern New England Neutral Internet Exchange,Northern New England Neutral Internet Exchange,NNENIX,Portland,North America,2017-03-28T18:37:21Z,20170000,0000-00-00,2019-06-17T15:42:37Z,http://www.nnenix.net,https://ixp.nnenix.net/statistics/ixp,,none,none
BR,631,1995,1684,Aracaju (SE) (IX.br - Aracaju),Ponto de Troca de Trafego do Aracaju,IX.br (PTT.br) Aracaju,Aracaju/SE,South America,2017-03-29T15:38:50Z,20170500,2019/7/28,2019-06-16T18:44:24Z,http://ix.br/,http://ix.br/trafego/agregado/se,['http://old.ix.br/stats/9f19207684abc9efd2554cb8a9799afe/se/images/pix/agregado_bps-daily.png'],none,none
IN,174,1020,1689,NIXI - Bangalore (National Internet Exchange of India - Bangalore),National Internet Exchange of India,NIXI Bangalore,Bangalore,Asia Pacific,2017-04-04T10:59:53Z,20080000,2019/5/27,2019-05-29T10:53:54Z,http://nixi.in/,,,none,none
IN,173,1022,1690,NIXI - Ahmedabad (National Internet Exchange of India - Ahmedabad),National Internet Exchange of India,NIXI Ahmedabad,Ahmedabad,Asia Pacific,2017-04-04T11:00:30Z,20080000,2019/8/7,2019-05-29T00:21:37Z,http://nixi.in/,,['http://180.179.222.68/mrtg/Total_Agg/ahm-day.png'],none,none
LV,686,2027,1748,MSK-IX Riga,MSK-IX Riga,MSK-IX Riga,Riga,Europe,2017-05-23T14:28:50Z,20180000,0000-00-00,2019-06-18T23:58:41Z,http://www.msk-ix.ru/en/ix/rix,http://www.msk-ix.ru/en/traffic,,none,none
ME,584,,1754,MIXP.me,,MIXP.me,Podgorica,Europe,2017-05-30T11:16:36Z,,,2019-06-16T18:41:17Z,http://www.mixp.me/eng/,,,none,none
AR,629,1943,1764,NAP CABASE - San Salvador de Jujuy (NAP CABASE - San Salvador de Jujuy),CABASE IXP Jujuy,CABASE-JUJ - IX Argentina (Jujuy),San Salvador de Jujuy,South America,2017-06-06T14:12:21Z,20160322,0000-00-00,2019-06-18T12:21:08Z,http://www.cabase.org.ar,,,none,none
VN,135,363,1771,VNIX - Ho Chi Minh (Vietnam National Internet eXchange - Ho Chi Minh),Viet Nam Internet Exchange,VNIX-HCM,Ho Chi Minh City,Asia Pacific,2017-06-19T07:52:08Z,20040300,0000-00-00,2019-06-19T00:22:06Z,https://www.vnix.vn,,,none,none
VN,134,362,1772,VNIX - Hanoi (Vietnam National Internet eXchange - Hanoi),Vietnam National Internet Exchange,VNIX-HN,Hanoi,Asia Pacific,2017-06-19T07:54:13Z,20031108,0000-00-00,2019-06-17T20:10:11Z,https://www.vnix.vn/,,,none,none
VN,,,1773,,,VNIX-DN,Da Nang,Asia Pacific,2017-06-19T07:55:25Z,,,,https://www.vnix.vn,,,none,none
GA,807,1887,1776,Gabon Internet eXchange (GABIX),Gabon Internet Exchange,GABIX,Libreville,Africa,2017-06-20T14:18:23Z,20140000,0000-00-00,2019-06-25T13:50:41Z,https://www.gabix.ga/,,,none,none
IN,773,2011,1785,EIX Hyderabad (Extreme Internet Exchange India),Extreme IX Hyderabad,Extreme IX Hyderabad,Hyderabad,Asia Pacific,2017-06-22T12:00:33Z,20160623,0000-00-00,2019-08-06T14:01:51Z,http://extreme-ix.org,,,none,none
IN,772,2010,1786,EIX Chennai (Extreme Internet Exchange India),Extreme IX Chennai,Extreme IX Chennai,Chennai,Asia Pacific,2017-06-22T12:01:14Z,20160623,0000-00-00,2019-08-06T14:01:52Z,http://extreme-ix.org,,,none,none
