id,protocol,prefix
656,IPv4,206.126.228.0/24
657,IPv6,2001:504:32:0::/64
658,IPv6,2001:504:32:1::/64
659,IPv6,2001:504:32:2::/64
660,IPv6,2001:504:32:3::/64
215,IPv4,198.32.158.0/24
152,IPv4,
330,IPv4,198.32.194.0/24
404,IPv4,198.32.195.0/24
1028,IPv6,2001:478:195::/64
153,IPv4,198.32.196.0/24
696,IPv4,198.32.164.0/24
154,IPv4,198.32.206.0/24
155,IPv4,198.32.108.0/24
156,IPv4,198.32.109.0/24
157,IPv4,198.32.110.0/24
158,IPv4,198.17.46.0/24
192,IPv4,198.32.238.0/24
159,IPv4,
160,IPv4,198.32.128.0/24
217,IPv4,206.223.116.0/24
233,IPv4,
1369,IPv6,2001:504:0:1::/64
161,IPv4,198.32.200.0/24
162,IPv6,3ffe:080d::/48
163,IPv4,198.32.154.0/24
164,IPv4,198.32.40.0/24
165,IPv4,198.32.133.0/24
166,IPv4,198.32.134.0/24
167,IPv4,198.32.135.0/24
991,IPv6,2001:504:12::/64
802,IPv4,206.81.80.0/23
1176,IPv6,2001:504:16::/64
398,IPv4,198.32.180/24
637,IPv6,2001:478:180::/64
168,IPv4,198.32.170.0/24
169,IPv4,198.32.171.0/24
170,IPv4,206.223.117.0/24
171,IPv4,
172,,
1406,IPv4,206.71.10.0/24
428,IPv6,2001:504:45:10::/64
173,IPv4,
174,IPv4,198.32.132.0/24
175,IPv4,198.32.7.0/24
277,IPv4,198.32.236.0/24
176,IPv4,
177,IPv4,
178,IPv4,198.32.190.0/24
179,IPv4,198.32.191.0/24
180,IPv4,198.32.192.0/24
945,IPv6,2001:504:e::/64
181,IPv4,192.41.177.0/24
182,IPv4,198.32.186.0/24
183,IPv4,198.32.187.0/24
315,IPv4,198.32.250.0/24
610,IPv4,
946,IPv6,
463,IPv4,218.100.10.0/24
427,IPv6,
184,IPv4,218.100.14.0/24
185,IPv6,
186,IPv4,
438,IPv4,192.168.179.0/24
318,IPv4,206.197.187.0/24
749,IPv6,2001:504:30::/64
593,IPv4,206.72.210.0/23
614,IPv4,206.223.143.0/24
703,IPv6,2001:504:13::/64
592,IPv4,
420,IPv4,218.100.3.0/24
1317,IPv6,2001:7FA:C::/48
418,IPv4,218.100.12.0/24
419,IPv4,218.100.13.0/24
307,IPv6,2001:7FA:E::
395,IPv4,218.100.19.0/24
421,IPv4,218.100.2.0/24
306,IPv6,2001:7FA:B::
828,IPv4,45.6.52.0/22
947,IPv6,2001:12f8:0:2::/64
1272,IPv4,27.111.228.0/22
949,IPv6,2001:DE8:4::/64
354,IPv4,202.79.197.0/24
220,IPv4,206.223.123.0/24
950,IPv6,2001:504:0:3::/64
229,IPv4,206.223.142.0/24
413,IPv4,196.223.28.0/24
1333,IPv6,2001:43f8:3c0::/48
671,IPv4,198.32.198.0/24
709,IPv4,
283,IPv4,85.31.223.0/24
647,IPv4,
882,IPv4,
797,IPv4,195.182.218.0/23
951,IPv6,2001:7f8:42::/64
243,IPv4,
620,IPv4,217.117.187.0/24
952,IPv6,
242,IPv4,
479,IPv4,
482,IPv4,193.25.170.0/23
697,IPv4,
907,IPv4,198.32.172.0/24
1352,IPv6,
211,IPv4,196.223.1.0/24
730,IPv4,196.223.36.0/24
535,IPv4,196.223.2.0/24
536,IPv6,2001:43f8:140::/64
213,IPv4,
626,IPv4,193.189.82.0/23
252,IPv6,2001:7f8:33::/48
507,IPv4,195.137.179.0/24
256,IPv6,
747,IPv4,
790,IPv4,193.239.116.0/22
1179,IPv4,194.246.39.224/27
232,IPv6,2001:7f8:13::/64
698,IPv4,194.153.159.192/26
865,IPv4,194.30.187.0/24
1361,IPv6,2001:7f8:91::/64
216,IPv4,134.202.255.0/24
222,IPv4,206.223.126.0/24
223,IPv4,206.223.127.0/24
369,IPv4,
231,IPv4,206.197.210.0/24
1551,IPv6,2606:7c80:3375:50::/64
456,IPv4,196.223.7.0/24
710,IPv4,
235,IPv4,
299,IPv4,218.100.44.0/24
959,IPv6,2001:de8:10::/48
699,IPv4,196.223.6.0/25
287,IPv6,2001:43f8:0:100::/64
348,IPv4,198.32.179.192/27
349,IPv4,198.32.179.192/27
443,IPv4,195.60.89.0/25
958,IPv6,2001:7f8:5e::/64
927,IPv4,81.201.48.192/26
631,IPv4,196.216.148.0/24
238,IPv4,200.0.18.0/24
239,IPv6,2001:12f8:3::/48
701,IPv4,69.51.84.0/25
700,IPv4,69.51.84.128/25
485,IPv4,
478,IPv4,195.60.84.128/25
837,IPv4,194.50.181.128/25
957,IPv6,2001:7f8:3e::/48
667,IPv4,80.67.175.0/24
666,IPv6,2001:910:ff::
454,IPv6,2001:7f8:25:1::
365,IPv4,195.140.149.128/25
407,IPv4,206.51.7.0/25
956,IPv6,2001:504:1B:1::/64
247,IPv4,
248,IPv6,
249,IPv6,
913,IPv4,198.32.157.0/24
257,IPv6,2001:7F8:52::/64
652,IPv4,196.223.4.128/26
