IXP_Country_ISO_Alpha2,IXPDB_ID,PCH_ID,PeeringDB_ID,IXP_name_IXPDB,IXP_name_PCH,IXP_name_PDB,IXP_City,IXP_region_continent,Date_Creation_PDB,Date_Creation_PCH,Date_Update_PCH,Date_Update_IXPDB,IXP_Website,IXP_Url_Stats,IXP_Url_Stats_PCH
SG,133,202,93,SOX - Singapore (Singapore Open eXchange),Singapore Open Exchange,SOX,Singapore,Asia Pacific,2010-07-29T00:00:00Z,20010800,0000-00-00,2019-06-17T20:09:33Z,http://www.sox.net.sg/,,
AU,179,12,94,Equinix Sydney (Equinix Sydney Data Centers),Equinix Sydney,Equinix Sydney,Sydney,Australia,2010-07-29T00:00:00Z,20030000,0000-00-00,2019-08-07T13:04:58Z,https://ix.equinix.com,,
JP,42,,95,JPNAP - Tokyo (Japan Network Access Point - Tokyo),,JPNAP Tokyo,Tokyo,Asia Pacific,2010-07-29T00:00:00Z,,,2019-08-07T13:04:58Z,https://www.jpnap.net/en/,https://www.jpnap.net/en/tokyo/traffic.html,
PL,85,185,96,WIX - Poland (Warsaw Internet eXchange),Warsaw Internet Exchange,WIX,Warsaw,Europe,2010-07-29T00:00:00Z,19960000,2009/12/15,2019-06-17T06:49:00Z,http://www.wix.net.pl/,http://www.wix.net.pl/vxb/w/index.asp?statystyki_x=statystyki,
NZ,126,164,97,APE - Auckland (Auckland Peering Exchange),Auckland Peering Exchange,APE,Auckland,Australia,2010-07-29T00:00:00Z,19990810,2019/7/15,2019-06-18T08:39:12Z,http://ape.nzix.net/,,['http://ape.nzix.net/ape2.png']
FI,23,69,98,FICIX - Helsinki (Finnish Communication and Internet Exchange - Helsinki),Finnish Communication and Internet Exchange Helsinki,FICIX 2 (Helsinki),Helsinki,Europe,2010-07-29T00:00:00Z,19930000,2013/3/20,2019-05-27T22:18:32Z,https://www.ficix.fi/,https://stats-ficix.basen.com/#/page?name=StatsWelcome&source=wiki,
RU,13,191,100,msk-ix (MSK-IX public peering VLAN),MSK-IX Moscow,MSK-IX Moscow,Moscow,Europe,2010-07-29T00:00:00Z,19951125,2016/6/6,2019-08-07T13:04:58Z,http://www.msk-ix.ru/en,http://www.msk-ix.ru/en/traffic,
AU,329,402,105,PIPE Networks Sydney (PIPE Networks Sydney),PIPE Networks Sydney,PIPE Networks Sydney,Sydney  NSW,Australia,2010-07-29T00:00:00Z,20030000,0000-00-00,2019-06-12T21:15:38Z,http://www.pipenetworks.com,,
RU,87,195,107,spb-ix (SPB-IX public peering VLAN),MSK-IX St. Petersburg,MSK-IX Saint-Petersburg,St.Petersburg,Europe,2010-07-29T00:00:00Z,20090000,2016/6/6,2019-07-04T14:10:04Z,http://www.msk-ix.ru/en/ix/spb,http://www.msk-ix.ru/en/traffic/,
AU,325,13,110,PIPE Networks Brisbane (PIPE Networks Brisbane),PIPE Networks Brisbane,PIPE Networks Brisbane,BRISBANE,Australia,2010-07-29T00:00:00Z,20020500,0000-00-00,2019-06-12T21:08:43Z,http://www.pipenetworks.com,,
AU,328,389,111,PIPE Networks Melbourne (PIPE Networks Melbourne),PIPE Networks Melbourne,PIPE Networks Melbourne,Melbourne,Australia,2010-07-29T00:00:00Z,20030700,0000-00-00,2019-06-12T21:10:22Z,http://www.pipenetworks.com,,
AU,324,,112,PIPE Networks Adelaide (PIPE Networks Adelaide),,PIPE Networks Adelaide,Adelaide,Australia,2010-12-11T00:00:00Z,,,2019-06-10T23:09:12Z,http://www.pipenetworks.com,,
AU,326,400,113,PIPE Networks Canberra (PIPE Networks Canberra),PIPE Networks Canberra,PIPE Networks Canberra,CANBERRA,Australia,2010-07-29T00:00:00Z,20040600,0000-00-00,2019-06-12T21:09:23Z,http://www.pipenetworks.com,,
AU,327,388,114,PIPE Networks Hobart (PIPE Networks Hobart),PIPE Networks Hobart,PIPE Networks Hobart,HOBART,Australia,2010-07-29T00:00:00Z,20030800,0000-00-00,2019-06-12T21:09:52Z,http://www.pipenetworks.com,,
IT,14,121,115,TOP-IX (Torino Piemonte Exchange Point),Torino Piemonte Exchange Point,TOP-IX,Turin,Europe,2010-07-29T00:00:00Z,20020400,2019/7/28,2019-08-07T13:04:58Z,http://www.top-ix.org,http://www.top-ix.org/traffic-summary,"['http://mrtg.top-ix.org/cgi-bin/14all.cgi?log=exchangedtraffic&cfg=exchangedtraffic.cfg&png=daily', 'http://mrtg.top-ix.org/cgi-bin/14all.cgi?log=exchangedtraffic&cfg=exchangedtraffic.cfg&png=daily']"
BR,215,29,119,Equinix S??o Paulo,Equinix S??o Paulo,Equinix S??o Paulo,S??o Paulo,South America,2010-07-29T00:00:00Z,19980000,0000-00-00,2019-06-06T21:26:27Z,https://www.equinix.com,https://ix.equinix.com,
IT,17,,121,NAMEX (NAMEX Roma IXP),,NaMeX Rome IXP,Rome,Europe,2010-07-29T00:00:00Z,,,2019-08-07T13:04:58Z,https://www.namex.it,https://www.namex.it/statistics,
